"type","objectname","size_bytes","path"
"blob","4a3925589a2c000fa1201743cb5503206eff961a","70374561","Archive/MensFoot.obj"
"blob","bb89c2635f42b33a260ad098dcb9a61a0eff72fb","54572241","Archive/Feet.f3d"
"blob","70f1e0d1b4360f443bd8c86ac7cf2283388a5859","3676742","Archive/Foot.obj"
"blob","3f58f6bd45e795d476db5fa6dbeb7e4d49d58f4c","3676708","Archive/16835_foot_v1.obj"
"blob","9d0367e18b4c92cf70ac8e12e8918a86eb38f3e0","1520834","Archive/Foot.3mf"
"blob","4cac42c0a7db1774a2a1c2bf725a4774f22d0293","1392084","Archive/Images/Overcast.png"
"blob","81f1913b5f9656ab5d1c20b8ec8b732e65475bb0","1165264","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/noScleraEye.h"
"blob","2294691b89958c18c11981640df740717d3572d3","1165264","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/dragonEye.h"
"blob","c5adab8c1f310707d1bf6e26abd81b99f7305fab","1130838","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/PNG Images/Flash_PNG/panda.h"
"blob","66e62b7784e738c6d800095ef2fc9d418ec2656f","1074664","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/doeEye.h"
"blob","9cea9ceff4a282160c9fce2b62b25e01d7a08ef8","988262","Archive/Images/20260629_154228.jpg"
"blob","39fca6009c0f3f8f073a8a645c4043e1ac450348","965639","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP8266_uncannyEyes/noScleraEye.h"
"blob","78ee02a5f680fec0998b75f07f9cf79fd2fb153a","965629","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP8266_uncannyEyes/dragonEye.h"
"blob","be760296d542cafe9e08b825aaa03930eb746849","923004","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/defaultEye.h"
"blob","571448c55b99b4a159b7e91e3e6a72f7bfe0ecef","922908","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/newtEye.h"
"blob","4a68f57060852b32ae24275a259b52fa9fce4f82","922860","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/terminatorEye.h"
"blob","6e116e7b1b6656a92b0ba8d178d79eae629ee5df","887446","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/goatEye.h"
"blob","899714e7b7d9f0b0bfe0fb1ca8a0a617ece6c9f7","807496","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/catEye.h"
"blob","5d0cd9f415786165cf9342500ca77365a3c90a5c","723283","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP8266_uncannyEyes/defaultEye.h"
"blob","9e7cf8750407c9d7d522846ec7513f84288fdfd8","687911","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/ESP8266_uncannyEyes/goatEye.h"
"blob","9b309bddc6bcc736af7c1264c2a6f760fa52d4bb","657411","Archive/Works6_28/TideDisplayOld/libraries/ArduinoJson/extras/tests/catch/catch.hpp"
"blob","4d600fe9db9da324cb2e7c217f4bb49932ea021f","552275","TideDisplay/basemap_img.h"
"blob","9f0ce6c342d24d49d5b56146c20163eb2fdcdcdb","522874","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/owlEye.h"
"blob","f770782c7c7451e86cf3d57805098732ade8f55a","522861","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Animated_Eyes_1/data/naugaEye.h"
"blob","4e82b2cdfca63e6ceaa28f23c18fa57f13deb7ff","390583","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/docs/RPi_TFT_connections/RPi_TFT_Connections.png"
"blob","bd0a7e1d814ece54b74e9179f92f82662e07e5b0","345283","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Orrery/astronomy.c"
"blob","5e7f8e63036f97aa1a30beca35d148bae84e33fc","330768","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/Latin_Hiragana_24.h"
"blob","0419552399dd3714245f2eadc9e337ac32da0829","268268","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Smooth_font_reading_TFT/NotoSansBold36.h"
"blob","3f400cc828b3afb6af7893b17c8f02b218c1cf10","268266","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Smooth_font_gradient/NotoSansBold36.h"
"blob","0105766a5a446a2b46307c369a8b74d15e28193e","268239","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Font_Demo_1_Array/NotoSansBold36.h"
"blob","da5ee551a68e9dc2bba5519c0a8a209fdafe3472","243256","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Generic/Local_Custom_Fonts/MyFont.h"
"blob","b8be0dca8a455cba37736904ba10f4eb1dedfcd2","230377","TideDisplay/weather_icons.h"
"blob","d76aa67df83349b5e9622b75dc4613736cfb2e73","221587","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/Unicode_Test_72.h"
"blob","d537faebafc314e0c28f56b384e931ded0f51767","196023","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/TFT_eSPI.cpp"
"blob","a4970508a62abba07369919b076aae90a2ff83af","195107","Archive/Works6_28/TideDisplayOld/wave_img.h"
"blob","ab8d45b27eead9580d6d9b44d0c672f20916c673","184817","Archive/Images/PartlySunny.png"
"blob","03bd12d14bade5336c1a4c429998d8749cfbbd76","182750","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/PNG Images/LittleFS_PNG/data/panda.png"
"blob","227c371fb9daaf139762a041cb0adc1455980b7b","172661","TideDisplay/wave_img.h"
"blob","72b3be7350a4fb203b64a7833accc34872eb4f60","172661","Archive/TideDisplay.ino/wave_imgOld.h"
"blob","474fe5cc630ccf7b55173c03d5c13189a31af5dc","153798","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Unicode_test/Final_Frontier_28.h"
"blob","4b1a18ef42068b7adf0f4ad25ca0e775d51d9a91","153796","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Print_Smooth_Font/Final_Frontier_28.h"
"blob","b45e623649bc505d8408300a8c8852d6a3f91973","152106","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Tools/Create_Smooth_Font/Create_font/FontFiles/Final-Frontier28.h"
"blob","16353bd42983cfe6890500fe1942f9ee1b664a9e","143518","Archive/Images/FullSun.png"
"blob","10633312abc2f8ce24d8aa953651eea6d45f7536","138373","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/docs/ESP32 UNO board mod/ESP32 UNO board mod.jpg"
"blob","7aa29e9dfe8b83d3afc84b1c359d4d91788cbd85","133852","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/PNG Images/Flash_transparent_PNG/SpongeBob.h"
"blob","3b10b7664c68b0ff3eff0c80bb4310b74c191a4b","129500","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/docs/ESP32 UNO board mod/ESP32 UNO board pinout.jpg"
"blob","801c50938fe4273da6dd1b90c9d84a9087c6364b","122840","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg1.h"
"blob","5266c3af2c82cf5cbd6eed075097865348aa6589","110606","Archive/TideClock/wave_img.h"
"blob","e026bb00f987d7ec82aaa0a2780b49ec00a3ce83","110147","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Animated_dial/dial.h"
"blob","00902f3c7490375b7f9f597103b7ef13018e7ceb","105000","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg4.h"
"blob","9d58d2193d7b16d020b1599fc97247f8bb099c63","102173","Archive/Images/Fog.png"
"blob","e377c76890fe769081b7ef48e9e674a6dfcd19bd","101436","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/DMA test/boing_ball/graphic.h"
"blob","b59a6a3de61563887ea7ed7a3761572e33e0aeeb","97834","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/480 x 320/TFT_flash_jpg/jpeg3.h"
"blob","73454b6c8064a8fdfefbb12943603a370bed4138","96373","Archive/Images/ThunderStorm.png"
"blob","f54a1cb661ebd5b9cc2a5fa006453873e4e4c0b0","93723","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Smooth Fonts/FLASH_Array/Font_Demo_3_Array/NotoSansMonoSCB20.h"
"blob","b947597e4dae08090bc1ea9a8800c64b963cd8c4","93530","Archive/Images/Wave.webp"
"blob","af841cc160d021085db8f558ea3cd6df02b16682","81072","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/Extensions/Sprite.cpp"
"blob","531cdeb7d67d3c16c5646199a30508bf8816e852","78337","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/Sprite/Sprite_image_4bit/starImage.cpp"
"blob","977b62ad25002188c71e89e67dff7ffc2e9ddb99","77473","Archive/Works6_28/TideDisplayOld/libraries/TFT_eSPI/examples/DMA test/Flash_Jpg_DMA/panda.h"
